t_h,xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11,xmv_12,operator_phase
3.005,0.24993,3645.163258,4493.67073,9.410246,26.748003,42.216786,2695.784703,71.079713,120.405995,0.328267,80.347875,50.499001,2625.196834,25.219386,49.708658,3091.675648,23.060492,65.953007,228.937699,341.570288,94.606493,77.303125,31.818607,9.241858,26.339342,6.798655,18.616021,1.709591,32.787162,14.41333,23.951966,1.2354,18.399531,2.366064,4.915895,2.279131,0.027922,0.806825,0.090465,53.657249,44.485676,63.05263,53.979707,24.643558,61.301921,22.21,39.13847,38.599001,46.208658,47.445735,41.105813,18.113491,50.0,
3.019,0.249301,3684.523907,4490.020988,9.330366,26.675564,42.423813,2696.62553,71.993256,120.426658,0.331173,80.332424,50.204074,2625.115327,25.27788,49.445619,3092.628057,22.366701,65.956772,228.713892,341.367097,94.602196,77.293554,31.818607,9.241858,26.339342,6.798655,18.616021,1.709591,32.787162,14.41333,23.951966,1.2354,18.399531,2.366064,4.915895,2.279131,0.027922,0.806825,0.090465,53.657249,44.485676,63.05263,53.979707,24.643558,61.301921,22.21,39.222553,38.304074,45.945619,47.445735,41.105813,18.113491,50.0,
3.033,0.252304,3659.952916,4478.013824,9.327586,26.84018,42.135839,2696.187176,71.771337,120.431205,0.330527,80.346293,50.836742,2624.881579,25.385298,50.400509,3093.013158,23.013867,65.951941,227.769614,341.417965,94.597538,77.287841,31.818607,9.241858,26.339342,6.798655,18.616021,1.709591,32.787162,14.41333,23.951966,1.2354,18.399531,2.366064,4.915895,2.279131,0.027922,0.806825,0.090465,53.657249,44.485676,63.05263,53.979707,24.643558,61.301921,22.21,39.178718,38.936742,46.900509,47.445735,41.105813,18.113491,50.0,
3.047,0.250238,3674.950284,4496.149238,9.389405,26.804667,42.557523,2696.205851,71.789066,120.427266,0.328948,80.34694,51.164443,2625.041064,26.202388,52.230806,3092.104752,23.144205,65.955066,229.273727,341.285807,94.600018,77.293485,31.818607,9.241858,26.339342,6.798655,18.616021,1.709591,32.787162,14.41333,23.951966,1.2354,18.399531,2.366064,4.915895,2.279131,0.027922,0.806825,0.090465,53.657249,44.485676,63.05263,53.979707,24.643558,61.301921,22.21,39.180585,39.264443,48.730806,47.445735,41.105813,18.113491,50.0,
3.061,0.251204,3671.016011,4516.92723,9.403324,26.907839,42.167615,2695.751626,71.421643,120.432402,0.327939,80.343866,49.869548,2624.955813,24.989895,50.725815,3092.331843,23.140445,65.957409,229.463447,341.304737,94.597137,77.287986,31.818607,9.241858,26.339342,6.798655,18.616021,1.709591,32.787162,14.41333,23.951966,1.2354,18.399531,2.366064,4.915895,2.279131,0.027922,0.806825,0.090465,53.657249,44.485676,63.05263,53.979707,24.643558,61.301921,22.21,39.135163,37.969548,47.225815,47.445735,41.105813,18.113491,50.0,
3.075,0.250248,3660.625585,4524.043076,9.461575,27.098472,42.149656,2696.063096,70.845542,120.44067,0.330026,80.342204,48.13014,2625.24152,25.321872,51.289866,3092.005321,23.337551,65.948903,227.060519,341.390098,94.606034,77.297421,31.818607,9.241858,26.339342,6.798655,18.616021,1.709591,32.787162,14.41333,23.951966,1.2354,18.399531,2.366064,4.915895,2.279131,0.027922,0.806825,0.090465,53.657249,44.485676,63.05263,53.979707,24.643558,61.301921,22.21,39.16631,36.23014,47.789866,47.445735,41.105813,18.113491,50.0,
3.089,0.250707,3653.493055,4503.290261,9.283785,26.83953,42.377977,2695.767215,71.923759,120.435921,0.328409,80.331626,50.179947,2624.871265,25.435642,50.034859,3092.678418,22.780605,65.926924,226.516842,341.284605,94.582027,77.297856,31.818607,9.241858,26.339342,6.798655,18.616021,1.709591,32.787162,14.41333,23.951966,1.2354,18.399531,2.366064,4.915895,2.279131,0.027922,0.806825,0.090465,53.657249,44.485676,63.05263,53.979707,24.643558,61.301921,22.21,39.136721,38.279947,46.534859,47.445735,41.105813,18.113491,50.0,
3.104,0.251161,3652.574006,4492.412233,9.356002,26.743338,42.644367,2696.28284,72.167564,120.45441,0.329423,80.354517,47.897932,2625.086171,25.168924,49.576602,3092.245885,22.35228,65.965933,228.671413,341.35552,94.607457,77.303209,32.120178,9.144866,26.116375,6.800786,18.536428,1.730225,32.840647,14.230167,23.875927,1.034045,18.308193,2.369825,4.922557,2.316736,0.027922,0.806825,0.090465,53.657249,44.485676,63.05263,53.979707,24.643558,61.301921,22.21,39.188284,35.997932,46.076602,47.445735,41.105813,18.113491,50.0,
3.118,0.249693,3660.380685,4476.812982,9.283578,26.68346,42.295361,2696.151187,71.3896,120.439802,0.33196,80.357294,49.929822,2625.194346,24.403694,50.024028,3093.221666,22.588293,65.968503,229.804993,341.424765,94.595129,77.303428,32.120178,9.144866,26.116375,6.800786,18.536428,1.730225,32.840647,14.230167,23.875927,1.034045,18.308193,2.369825,4.922557,2.316736,0.027922,0.806825,0.090465,53.657249,44.485676,63.05263,53.979707,24.643558,61.301921,22.21,39.175119,38.029822,46.524028,47.445735,41.105813,18.113491,50.0,
3.132,0.250063,3651.048692,4501.110216,9.352608,26.633426,42.286603,2696.416228,72.307233,120.451569,0.327933,80.339086,48.91339,2625.642866,24.951904,49.920099,3092.876961,23.613106,65.944233,228.710348,341.301776,94.596247,77.31225,32.120178,9.144866,26.116375,6.800786,18.536428,1.730225,32.840647,14.230167,23.875927,1.034045,18.308193,2.369825,4.922557,2.316736,0.027922,0.806825,0.090465,53.657249,44.485676,63.05263,53.979707,24.643558,61.301921,22.21,39.201623,37.01339,46.420099,47.445735,41.105813,18.113491,50.0,
3.145,0.250523,3656.051831,4562.138555,9.252025,27.216706,42.163774,2696.475923,71.807497,120.443322,0.330187,80.330658,50.299644,2624.9379,25.076385,50.039851,3092.741224,23.079288,65.928622,230.535998,341.148035,94.600803,77.303626,32.120178,9.144866,26.116375,6.800786,18.536428,1.730225,32.840647,14.230167,23.875927,1.034045,18.308193,2.369825,4.922557,2.316736,0.027922,0.806825,0.090465,53.657249,44.485676,63.05263,53.979707,24.643558,61.301921,22.21,39.207592,38.399644,46.539851,47.445735,41.105813,18.113491,50.0,
3.16,0.251402,3653.274385,4519.107923,9.383165,26.710416,42.292438,2695.629737,71.883507,120.452996,0.331205,80.351187,50.677964,2625.302086,25.136859,49.870033,3092.916113,22.655914,65.948482,227.297472,341.08538,94.60319,77.294871,32.120178,9.144866,26.116375,6.800786,18.536428,1.730225,32.840647,14.230167,23.875927,1.034045,18.308193,2.369825,4.922557,2.316736,0.027922,0.806825,0.090465,53.657249,44.485676,63.05263,53.979707,24.643558,61.301921,22.21,39.122974,38.777964,46.370033,47.445735,41.105813,18.113491,50.0,
3.173,0.250186,3670.944143,4502.406381,9.357702,26.928027,42.291056,2695.88005,72.287139,120.450545,0.32813,80.334114,49.262992,2625.186752,25.523808,48.880237,3092.429402,23.022197,65.96276,229.236841,341.605708,94.588028,77.297961,32.120178,9.144866,26.116375,6.800786,18.536428,1.730225,32.840647,14.230167,23.875927,1.034045,18.308193,2.369825,4.922557,2.316736,0.027922,0.806825,0.090465,53.657249,44.485676,63.05263,53.979707,24.643558,61.301921,22.21,39.148005,37.362992,45.380237,47.445735,41.105813,18.113491,50.0,
3.187,0.251472,3704.217817,4504.970323,9.344459,27.187107,42.125931,2696.918005,71.365098,120.436635,0.328853,80.338364,48.223988,2624.876697,24.686607,50.026444,3092.71865,23.154201,65.935575,228.626844,341.518038,94.59178,77.300535,32.120178,9.144866,26.116375,6.800786,18.536428,1.730225,32.840647,14.230167,23.875927,1.034045,18.308193,2.369825,4.922557,2.316736,0.027922,0.806825,0.090465,53.657249,44.485676,63.05263,53.979707,24.643558,61.301921,22.21,39.251801,36.323988,46.526444,47.445735,41.105813,18.113491,50.0,
